week_start,total_units,mean_units_per_active_series,active_series,minimum_series_units,maximum_series_units,total_units_ma4,mean_units_ma4,year,month
2011-01-31,145851,25.2468409208932,5777,0,2211,,,2011,1
2011-02-07,141740,23.983079526226735,5910,0,923,,,2011,2
2011-02-14,120641,20.08340269685367,6007,0,725,,,2011,2
2011-02-21,114126,18.626734127631792,6127,0,651,130589.5,21.98501431790135,2011,2
2011-02-28,130587,20.81399426203379,6274,0,722,126773.5,20.8768026531865,2011,2
2011-03-07,128823,20.26156023906889,6358,0,723,123544.25,19.946422831397037,2011,3
2011-03-14,122932,19.127431149836628,6427,0,723,124117.0,19.707429944642776,2011,3
2011-03-21,111979,17.310094295872624,6469,0,750,123580.25,19.378269986702982,2011,3
2011-03-28,121015,18.42213426701172,6569,0,720,121187.25,18.780304987947467,2011,3
2011-04-04,129467,19.471649872161226,6649,0,675,121348.25,18.58282739622055,2011,4
2011-04-11,123350,18.287620459599705,6745,0,729,121452.75,18.37287472366132,2011,4
2011-04-18,110804,16.350007377895825,6777,0,836,121159.0,18.132852994167116,2011,4
2011-04-25,100337,14.630650335374744,6858,0,641,115989.5,17.184982011257876,2011,4
2011-05-02,114551,16.599188523402404,6901,0,749,112260.5,16.46686667406817,2011,5
2011-05-09,122750,17.707732256203116,6932,0,731,112110.5,16.321894623219023,2011,5
2011-05-16,103543,14.876867816091954,6960,0,670,110295.25,15.953609732768054,2011,5
2011-05-23,102581,14.646059394631639,7004,0,856,110856.25,15.957461997582278,2011,5
2011-05-30,122670,17.466894489534386,7023,0,845,112886.0,16.174388489115273,2011,5
2011-06-06,134305,19.074705297542963,7041,0,751,115774.75,16.516131749450235,2011,6
2011-06-13,124439,17.66595684270301,7044,0,820,120998.75,17.213404006102998,2011,6
2011-06-20,115785,16.421075024819174,7051,0,951,124299.75,17.657157913649883,2011,6
2011-06-27,123605,17.47808257918552,7072,0,795,124533.5,17.659954936062668,2011,6
2011-07-04,138547,19.56049696456304,7083,0,763,125594.0,17.781402852817685,2011,7
2011-07-11,132820,18.71231332769794,7098,0,740,127689.25,18.042991974066418,2011,7
2011-07-18,122688,17.24599381501265,7114,0,662,129415.0,18.249221671614787,2011,7
2011-07-25,114079,15.901728463897408,7174,0,686,127033.5,17.85513314279276,2011,7
2011-08-01,135733,18.758015478164733,7236,0,883,126330.0,17.654512771193183,2011,8
2011-08-08,141460,19.35951827015191,7307,0,905,128490.0,17.816314006806675,2011,8
2011-08-15,136544,18.607795039520305,7338,0,1031,131954.0,18.15676431293359,2011,8
2011-08-22,122144,16.627280152463925,7346,0,960,133970.25,18.338152235075217,2011,8
2011-08-29,126182,17.148953519978257,7358,0,868,131582.5,17.9358867455286,2011,8
2011-09-05,142491,19.286816459122903,7388,0,976,131840.25,17.917711292771347,2011,9
2011-09-12,136701,18.433252427184467,7416,0,986,131879.5,17.874075639687387,2011,9
2011-09-19,128815,17.28364417013283,7453,0,885,133547.25,18.038166644104614,2011,9
2011-09-26,139181,18.61953177257525,7475,0,2220,136797.0,18.405811207253862,2011,9
2011-10-03,154718,20.631817575676756,7499,0,1717,139853.75,18.742061486392327,2011,10
2011-10-10,156503,20.81156914893617,7520,0,1738,144804.25,19.33664066683025,2011,10
2011-10-17,133759,17.76112070110211,7531,0,1841,146040.25,19.45600979957257,2011,10
2011-10-24,127534,16.914323607427054,7540,0,1633,143128.5,19.029707758285525,2011,10
2011-10-31,145009,19.198861379584272,7553,0,1572,140701.25,18.6714687092624,2011,10
2011-11-07,150421,19.870673712021137,7570,0,1813,139180.75,18.436244850033646,2011,11
2011-11-14,138248,18.236116607307743,7581,0,1843,140303.0,18.55499382658505,2011,11
2011-11-21,127715,16.793556870479946,7605,0,1865,140348.25,18.524802142348275,2011,11
2011-11-28,137657,18.06759417246358,7619,0,1591,138510.25,18.2419853405681,2011,11
2011-12-05,154699,20.267129568976813,7633,0,2012,139579.75,18.34109930480702,2011,12
2011-12-12,154958,20.248007317391874,7653,0,2016,143757.25,18.844071982328053,2011,12
