week_start,store_id,dept_id,item_id,weekly_units_sold,prediction,residual,absolute_error
2016-05-16,CA_3,FOODS_3,FOODS_3_681,513,237.77566577718576,-275.22433422281426,275.22433422281426
2016-05-02,WI_2,FOODS_3,FOODS_3_234,439,178.90265604197495,-260.097343958025,260.097343958025
2016-05-09,WI_2,FOODS_3,FOODS_3_498,377,147.79039299217914,-229.20960700782086,229.20960700782086
2016-05-09,WI_2,FOODS_3,FOODS_3_070,57,283.12964829515283,226.12964829515283,226.12964829515283
2016-05-02,WI_2,FOODS_3,FOODS_3_444,216,0.6796588953959266,-215.32034110460407,215.32034110460407
2016-05-09,WI_2,FOODS_3,FOODS_3_547,334,126.52221884562762,-207.4777811543724,207.4777811543724
2016-05-09,WI_2,FOODS_3,FOODS_3_444,411,213.48873338663876,-197.51126661336124,197.51126661336124
2016-05-16,WI_2,FOODS_3,FOODS_3_498,33,217.70795738341562,184.70795738341562,184.70795738341562
2016-05-02,WI_2,FOODS_2,FOODS_2_360,540,358.3431108757376,-181.65688912426242,181.65688912426242
2016-05-02,WI_2,FOODS_3,FOODS_3_412,283,106.39425121311623,-176.60574878688377,176.60574878688377
2016-05-16,WI_2,FOODS_2,FOODS_2_360,242,411.32965930421506,169.32965930421506,169.32965930421506
2016-05-09,CA_3,FOODS_3,FOODS_3_090,938,775.1155137005844,-162.88448629941558,162.88448629941558
2016-04-25,WI_2,FOODS_1,FOODS_1_004,157,0.4426975423286903,-156.5573024576713,156.5573024576713
2016-05-02,CA_3,FOODS_3,FOODS_3_362,1,156.82465667622472,155.82465667622472,155.82465667622472
2016-05-16,WI_2,FOODS_3,FOODS_3_809,26,179.07420941046925,153.07420941046925,153.07420941046925
2016-05-02,WI_2,FOODS_2,FOODS_2_013,418,265.04102639021215,-152.95897360978785,152.95897360978785
2016-05-09,WI_2,FOODS_3,FOODS_3_454,297,144.5763991094995,-152.4236008905005,152.4236008905005
2016-05-02,WI_2,FOODS_1,FOODS_1_004,322,170.06959556502585,-151.93040443497415,151.93040443497415
2016-05-16,CA_3,FOODS_3,FOODS_3_086,249,98.80033734124166,-150.19966265875834,150.19966265875834
2016-05-16,CA_3,FOODS_3,FOODS_3_090,670,818.578095383577,148.57809538357697,148.57809538357697
2016-04-25,CA_3,FOODS_3,FOODS_3_090,904,755.5049585783211,-148.49504142167893,148.49504142167893
2016-05-02,WI_2,FOODS_3,FOODS_3_809,248,104.2923511289628,-143.70764887103718,143.70764887103718
2016-05-09,WI_2,FOODS_2,FOODS_2_013,454,312.95920398401114,-141.04079601598886,141.04079601598886
2016-05-02,WI_2,FOODS_3,FOODS_3_811,345,204.8255489787876,-140.1744510212124,140.1744510212124
2016-05-16,WI_2,FOODS_3,FOODS_3_376,155,294.49670671875845,139.49670671875845,139.49670671875845
