store_id,rows,actual_mean,predicted_mean,mae,rmse,mean_error
CA_1,5748,15.802540013917884,15.174161449411939,4.765678791893588,8.94598340923997,-0.6283785645059464
CA_2,5748,15.173625608907447,14.283597815912536,4.47891697910791,7.617216174787177,-0.8900277929949096
CA_3,5748,19.11447459986082,18.998790794677873,5.396614497903654,11.101929340685896,-0.11568380518294709
CA_4,5748,8.983994432846208,8.754723366045587,3.0897776627596807,4.97981694901593,-0.22927106680062054
TX_1,5748,10.846381350034795,10.762460566617335,3.6714675853039767,7.437564048581532,-0.08392078341746005
TX_2,5748,13.263395963813501,13.022133842894325,3.915254206330674,7.500720967140703,-0.24126212091917565
TX_3,5748,13.413709116214335,12.836961269913564,4.152291014156204,8.408274977136987,-0.5767478463007704
WI_1,5748,13.732254697286013,13.375022616914418,3.9679027395963704,6.646346825688762,-0.3572320803715936
WI_2,5748,19.856123869171885,19.266897296046636,6.501590491614383,15.916940393440482,-0.5892265731252492
WI_3,5748,14.644398051496173,14.3217370051843,4.239694623369109,8.258086102922105,-0.3226610463118713
